,exp_name,env_name,seed,metric,env_step,value
68,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,4999168,0.0
69,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,7498752,0.0
70,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,9998336,0.0
71,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,12497920,0.0
72,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,14997504,0.0
73,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,17497088,0.0
74,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,19996672,0.0
75,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,22496256,0.0
76,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,24995840,0.0
77,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,27495424,0.0
78,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,29995008,0.0
79,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,32494592,0.0
80,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,34994176,0.0
81,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,37493760,0.0
82,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,39993344,0.0
83,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,42492928,0.0
84,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,44992512,0.0
85,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,47492096,0.0
86,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,49991680,0.0
87,WarpSAC-A,G1JoystickFlatTerrain,2,avg_success,50000896,0.0
88,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,0,-7.3058
89,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,2499584,-3.75
90,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,4999168,-1.8705
91,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,7498752,11.8554
92,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,9998336,17.2974
93,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,12497920,25.3776
94,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,14997504,28.7859
95,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,17497088,30.8181
96,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,19996672,32.9194
97,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,22496256,35.2227
98,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,24995840,36.4032
99,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,27495424,38.511
100,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,29995008,37.7301
101,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,32494592,39.9642
102,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,34994176,38.6728
103,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,37493760,40.1153
104,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,39993344,40.8106
105,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,42492928,27.6646
106,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,44992512,40.5613
107,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,47492096,40.6315
108,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,49991680,40.6796
109,WarpSAC-A,G1JoystickFlatTerrain,3,avg_return,50000896,41.0213
110,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,0,0.0
111,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,2499584,0.0
112,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,4999168,0.0
113,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,7498752,0.0
114,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,9998336,0.0
115,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,12497920,0.0
116,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,14997504,0.0
117,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,17497088,0.0
118,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,19996672,0.0
119,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,22496256,0.0
120,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,24995840,0.0
121,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,27495424,0.0
122,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,29995008,0.0
123,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,32494592,0.0
124,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,34994176,0.0
125,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,37493760,0.0
126,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,39993344,0.0
127,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,42492928,0.0
128,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,44992512,0.0
129,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,47492096,0.0
130,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,49991680,0.0
131,WarpSAC-A,G1JoystickFlatTerrain,3,avg_success,50000896,0.0
132,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,0,-4.5361
133,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,2499584,-3.6139
134,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,4999168,-7.552
135,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,7498752,14.6995
136,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,9998336,15.5871
137,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,12497920,23.4176
138,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,14997504,28.3641
139,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,17497088,32.4769
140,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,19996672,33.8652
141,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,22496256,33.5101
142,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,24995840,37.3085
143,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,27495424,38.5011
144,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,29995008,35.5162
145,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,32494592,39.1168
146,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,34994176,38.2087
147,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,37493760,39.5287
148,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,39993344,39.8142
149,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,42492928,40.1597
150,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,44992512,39.3824
151,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,47492096,40.8832
152,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,49991680,40.4429
153,WarpSAC-A,G1JoystickFlatTerrain,4,avg_return,50000896,39.91
154,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,0,0.0
155,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,2499584,0.0
156,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,4999168,0.0
157,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,7498752,0.0
158,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,9998336,0.0
159,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,12497920,0.0
160,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,14997504,0.0
161,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,17497088,0.0
162,WarpSAC-A,G1JoystickFlatTerrain,4,avg_success,19996672,0.0
